opportunity_id,product,account,deal_stage,engage_date,close_date,close_value
1C1I7A6R,gtx plus basic,cancity,won,2016-10-20,2017-03-01,1054.0
Z063OYW0,gtxpro,isdom,won,2016-10-25,2017-03-11,4514.0
EC4QE1BX,mg special,cancity,won,2016-10-25,2017-03-07,50.0
MV1LWRNH,gtx basic,codehow,won,2016-10-25,2017-03-09,588.0
PE84CX4O,gtx basic,hatfan,won,2016-10-25,2017-03-02,517.0
ZNBS69V1,mg special,ron tech,won,2016-10-29,2017-03-01,49.0
9ME3374G,mg special,j texon,won,2016-10-30,2017-03-02,57.0
7GN8Q4LL,gtx basic,cheers,won,2016-11-01,2017-03-07,601.0
OLK9LKZB,gtx plus basic,zumgoity,won,2016-11-01,2017-03-03,1026.0
HAXMC4IX,mg advanced,,engaging,2016-11-03,,
NL3JZH1Z,mg special,bioholding,won,2016-11-04,2017-03-10,53.0
KWVA7VR1,gtxpro,genco pura olive oil company,lost,2016-11-04,2017-03-18,0.0
S8DX3XOU,gtx plus pro,sunnamplex,won,2016-11-04,2017-03-10,5169.0
ENB2XD8G,gtx plus pro,sonron,won,2016-11-04,2017-03-06,4631.0
09YE9QOV,mg advanced,finjob,won,2016-11-05,2017-03-11,3393.0
3F5MZNEH,mg special,sonron,lost,2016-11-05,2017-03-03,0.0
M6WEJXC0,mg advanced,scotfind,won,2016-11-05,2017-03-06,3284.0
6PTR7VBR,mg special,treequote,won,2016-11-06,2017-03-05,61.0
902REDPA,gtxpro,xx zobam,lost,2016-11-07,2017-03-09,0.0
5J9CMGDV,mg special,rantouch,won,2016-11-07,2017-03-08,46.0
JJXRR8R6,gtx plus pro,fasehatice,lost,2016-11-07,2017-03-17,0.0
WF4HA5NW,mg special,ron tech,won,2016-11-07,2017-03-18,50.0
C5K2JP1H,gtx plus basic,vehement capital partners,won,2016-11-07,2017-03-11,1014.0
ADRB8OMB,gtx basic,warephase,won,2016-11-08,2017-03-26,561.0
SBCR987L,gtx basic,zoomit,won,2016-11-10,2017-03-23,590.0
UP409DSB,mg advanced,ganjaflex,engaging,2016-11-10,,
